Event	ID	Name			Wwise Object Path	Notes
	120276447	StartFailsafe2Radio			\Default Work Unit\Failsafe2Radio\StartFailsafe2Radio	
	607422545	PlayBuzzer			\Default Work Unit\OpeningBuzzer\PlayBuzzer	
	1172811353	MuteMissionRadio			\Default Work Unit\MissionRadio\MuteMissionRadio	
	1471546448	StartMissionRadio			\Default Work Unit\MissionRadio\StartMissionRadio	
	1824701367	StopBuzzer			\Default Work Unit\OpeningBuzzer\StopBuzzer	
	2356623873	PlaySparks			\Default Work Unit\Sparks\PlaySparks	
	2614172267	UnmuteFailsafe2Radio			\Default Work Unit\Failsafe2Radio\UnmuteFailsafe2Radio	
	2751768967	StopSparks			\Default Work Unit\Sparks\StopSparks	
	3602858226	MuteFailsafe2Radio			\Default Work Unit\Failsafe2Radio\MuteFailsafe2Radio	
	4043917796	UnmuteMissionRadio			\Default Work Unit\MissionRadio\UnmuteMissionRadio	

Modulator Envelope	ID	Name			Wwise Object Path	Notes
	424953522	Buzzer			\Default Work Unit\Buzzer	

Effect plug-ins	ID	Name	Type				Notes
	374410365	Wwise Gain (Custom)	Wwise Gain			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	24769739	ACOM_Count_Zero	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Count_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\ACOM_Count_Zero		153312
	123860010	ACOM_Alphabet_Y	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Alphabet_25_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\ACOM_Alphabet_Y		102844
	218500871	ACOM_Count_One	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Count_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\ACOM_Count_One		207368
	243838099	ACOM_Alphabet_Z	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Alphabet_26_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\ACOM_Alphabet_Z		125396
	296355240	ACOM_Alphabet_H	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Alphabet_08_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Failsafe 2\ACOM_Alphabet_H		210724
	378781603	Sparks	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\sparks_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sparks		3459140
	408593314	Dia_ACOM_ExecuteCode	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\Dia_ACOM_ExecuteCode_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\Dia_ACOM_ExecuteCode		352320
	518795460	Dia_ACOM_Hail_alt	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\Dia_ACOM_Hail_alt_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\Dia_ACOM_Hail_alt		554928
	542774743	ACOM_Alphabet_M	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Alphabet_13_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Failsafe 2\ACOM_Alphabet_M		85588
	570699409	Dia_ACOM_Target	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\Dia_ACOM_Target_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\Dia_ACOM_Target		825104
	573638134	ACOM_Alphabet_C	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Alphabet_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\ACOM_Alphabet_C		129612
	693515982	ACOM_Count_Niner	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Count_10_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\ACOM_Count_Niner		176164
	810202686	ACOM_Alphabet_T	C:\Users\Ben\Projects\Nuclear Sub\Assets\_Sounds\Sub WWise\.cache\Windows\SFX\ACOM_Alphabet_20_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mission Orders\ACOM_Alphabet_T		100512
